英語,日本語,φψμ,μテンション,使用場面,source
structure,構造,φ,2,"fold_macro, template_core, DSL","Z001_core, fold/構造テンプレ"
operation,操作,ψ,3,"fold_macro, template_dynamics, DSL","Z010_operation, fold/操作テンプレ"
semantic,意味,μ,5,"fold_macro, Zettel, evaluation, DSL","Z100_meaning, fold/意味テンプレ"
logic,論理,φ,3,"fold_macro, template_structure, DSL","Z002_logic, fold/論理テンプレ"
assertion,命題,ψ,4,"Zettel, evaluation, fold_macro","Z020_assert, fold/命題テンプレ"
value,値,μ,4,"evaluation, template_evaluation, DSL","Z300_value, fold/評価テンプレ"
symbol,記号,φ,2,"DSL, template_label, fold_macro","Z011_symbol, fold/記号テンプレ"
proposition,主張,ψ,4,"Zettel, output_surface, evaluation","Z021_proposition, fold/主張テンプレ"
interpretation,解釈,μ,4,"Zettel, fold_macro, evaluation, DSL","Z110_interpret, fold/解釈テンプレ"
rule,規則,φ,3,"fold_macro, DSL, evaluation","Z005_rule, fold/規則テンプレ"
gesture,動作,ψ,2,"Zettel, template_selection, evaluation","Z070_gesture, fold/動作テンプレ"
affect,情動,μ,5,"evaluation, Zettel, fold_macro","Z200_affect, fold/情動テンプレ"
formula,式,φ,2,"DSL, fold_macro, Zettel","Z300_formula, fold/式テンプレ"
question,問い,ψ,3,"Zettel, evaluation, template_branch","Z090_question, fold/問いテンプレ"
image,像,μ,5,"Zettel, fold_macro, template_design","Z400_image, fold/像テンプレ"
